order-id	date	update-date	status	sales-channel	service	name	code	flag	quantity	currency	cost	fee	city	state	postal-code	country	business-order
2988671-2302842	2020-05-06T17:44:29+00:00	2020-05-06T17:49:58+00:00	Starting	CA Marketplace	Standard	Reusable	3U-MJX8-4-RF	Untriggered	1				Newmarket	ON	L3Y 3B8	CA	FALSE
9397470-1634657	2020-05-06T21:36:15+00:00	2020-05-06T21:36:18+00:00	Starting	Marketplace	Second	Premium	C-UNB-100	Untriggered	1	CAD	16.95		Toronto	Ontario	M8V 3Y1	CA	FALSE
9356778-4379435	2020-05-06T21:15:34+00:00	2020-05-06T21:15:39+00:00	Starting	Marketplace	Second	Premium	C-UNB-100	Untriggered	1	CAD	16.95		Calgary	Alberta	T2Y 4G4	CA	FALSE
9735004-7036220	2020-05-06T20:16:24+00:00	2020-05-06T20:16:28+00:00	Starting	Marketplace	Expedited	Replacement	WATER-12	Untriggered	1	CAD	14.95		Quebec	Quebec	G1X 3G1	CA	FALSE
9790708-3578662	2020-05-06T20:15:31+00:00	2020-05-06T20:17:20+00:00	Starting	Marketplace	Second	Reusable	3U-MJX8-4-RF	Untriggered	1	CAD	11.85		Edmonton	Alberta	T5H 3R3	CA	FALSE
5335722-5039451	2020-05-06T20:01:46+00:00	2020-05-06T20:01:49+00:00	Starting	Marketplace	Second	Premium	C-UNB-100	Untriggered	1	CAD	16.95		surrey	British Columbia	V4A 2A2	CA	FALSE
7474638-1132222	2020-05-06T19:27:04+00:00	2020-05-06T19:28:11+00:00	Starting	Marketplace	Second	Premium	C-UNB-100	Untriggered	1	CAD	16.95		Port Colborne	Ontario	L3K 4P4	CA	FALSE
6840990-3555413	2020-05-06T18:30:11+00:00	2020-05-06T18:30:19+00:00	Starting	Marketplace	Second	Premium	C-PAPER-100	Untriggered	1	CAD	16.85		Hamilton	Ontario	L8W 1G1	CA	FALSE
0047333-4603457	2020-05-06T18:28:56+00:00	2020-05-06T18:28:59+00:00	Starting	Marketplace	Second	Reusable	3U-MJX8-4-RF	Untriggered	1	CAD	11.85		TORONTO	ONTARIO	M9M 1P8	CA	FALSE
1606517-6866639	2020-05-06T18:24:12+00:00	2020-05-06T18:24:24+00:00	Starting	Marketplace	Second	Premium	C-UNB-100	Untriggered	1	CAD	16.95		Windsor	Ontario	N8N 4R1	CA	FALSE
0530290-8757848	2020-05-06T17:58:21+00:00	2020-05-06T17:58:25+00:00	Starting	Marketplace	Standard	Premium	C-UNB-100	Untriggered	1	CAD	16.95		Calgary	Alberta	T3H 3J3	CA	FALSE
1456684-2328228	2020-05-06T17:12:32+00:00	2020-05-06T17:12:35+00:00	Starting	Marketplace	Expedited	Reusable	3U-MJX8-4-RF	Untriggered	1	CAD	11.85		Baddeck	Nova Scotia	B0E1B0	CA	FALSE
0000727-2637817	2020-05-06T16:59:10+00:00	2020-05-06T17:00:20+00:00	Starting	Marketplace	Second	Reusable	3U-MJX8-4-RF	Untriggered	1	CAD	11.85		Bath	Ontario	K0H 1G0	CA	FALSE
4025516-2478633	2020-05-06T16:15:20+00:00	2020-05-06T16:15:23+00:00	Starting	Marketplace	Expedited	Holder	KH-LBLW-TDHF	Untriggered	1	CAD	9.98		Oak Lake	Manitoba	R0M 1P0	CA	FALSE
3919974-0025859	2020-05-06T16:13:39+00:00	2020-05-06T16:13:44+00:00	Starting	Marketplace	Standard	Premium	C-UNB-100	Untriggered	1	CAD	16.95		Ottawa	Ontario	K1N6E8	CA	FALSE
0144954-9157845	2020-05-06T15:55:28+00:00	2020-05-06T15:57:50+00:00	Starting	Marketplace	Second	Premium	C-PAPER-100	Untriggered	1	CAD	16.85		Buckhorn	Ontario	K0L 1J0	CA	FALSE
6992215-6967450	2020-05-06T15:15:34+00:00	2020-05-06T15:15:37+00:00	Starting	Marketplace	Second	Cartridge	WATER-12	Untriggered	1	CAD	14.95		Waterloo	Ontario	N2J 1W6	CA	FALSE
4932440-6720267	2020-05-06T15:02:59+00:00	2020-05-06T15:03:03+00:00	Starting	Marketplace	Second	Cartridge	WATER-12	Untriggered	1	CAD	14.95		Hantsport	Nova Scotia	B0P1P0	CA	FALSE
1621062-3106635	2020-05-06T15:00:17+00:00	2020-05-06T15:00:20+00:00	Starting	Marketplace	Second	Cartridge	WATER-12	Untriggered	1	CAD	14.95		Etobicoke	Ontario	M9P 3W3	CA	FALSE
9112930-0350638	2020-05-06T14:47:44+00:00	2020-05-06T14:47:49+00:00	Starting	Marketplace	Standard	Holder	KH-LBLW-TDHF	Untriggered	1	CAD	9.98		Fort Albany	Ontario	P0L1H0	CA	FALSE
